run_id,episode_index,step_count,time_start,time_end,time_delta_ms,observation_state,action_taken,reward_received,terminated
20250519_085335,0,0,105852.6138087,105852.6141262,0.3175000019837171,[ 0.001862    0.01179704  0.04258519 -0.00196872],0,1.0,False
20250519_085335,0,1,105852.6345908,105852.6348988,0.3080000024056062,[ 0.00209794 -0.18390895  0.04254581  0.3038404 ],1,1.0,False
20250519_085335,0,2,105852.6551864,105852.6554891,0.3026999911526218,[-0.00158024  0.01058165  0.04862262  0.02487318],0,1.0,False
20250519_085335,0,3,105852.6763749,105852.6767142,0.33930000790860504,[-0.0013686  -0.18520266  0.04912008  0.33249196],1,1.0,False
20250519_085335,0,4,105852.6972039,105852.6978228,0.6188999977894127,[-0.00507266  0.00918698  0.05576992  0.05569471],0,1.0,False
20250519_085335,0,5,105852.7178748,105852.7183556,0.4807999939657748,[-0.00488892 -0.18668844  0.05688382  0.36543888],1,1.0,False
20250519_085335,0,6,105852.737761,105852.7380973,0.33629999961704016,[-0.00862269  0.00758094  0.06419259  0.09122098],1,1.0,False
20250519_085335,0,7,105852.7581498,105852.7584447,0.29489998996723443,[-0.00847107  0.20172687  0.06601702 -0.18053843],0,1.0,False
20250519_085335,0,8,105852.7793497,105852.7796363,0.2865999995265156,[-0.00443653  0.00572539  0.06240625  0.13221824],1,1.0,False
20250519_085335,0,9,105852.8003716,105852.8006622,0.2906000008806586,[-0.00432202  0.19990046  0.06505061 -0.14014186],0,1.0,False
20250519_085335,0,10,105852.8201699,105852.8207057,0.5357999907573685,[-0.00032401  0.00391007  0.06224778  0.17233334],1,1.0,False
20250519_085335,0,11,105852.8407406,105852.8411869,0.4462999932002276,[-0.00024581  0.19808842  0.06569444 -0.10008104],0,1.0,False
20250519_085335,0,12,105852.8613601,105852.8617811,0.42100000428035855,[0.00371596 0.00208947 0.06369282 0.21258348],1,1.0,False
20250519_085335,0,13,105852.8825534,105852.8829714,0.41799999598879367,[ 0.00375775  0.1962457   0.06794449 -0.05934729],1,1.0,False
20250519_085335,0,14,105852.9038461,105852.9044276,0.5815000040456653,[ 0.00768266  0.390331    0.06675754 -0.3298432 ],0,1.0,False
20250519_085335,0,15,105852.9234424,105852.9238671,0.42470000335015357,[ 0.01548928  0.19432539  0.06016068 -0.01687753],1,1.0,False
