episode_index,step_count,observation_state,action_taken,reward_received,terminated
0,0,[ 0.01598936 -0.20861974 -0.02571974  0.2702646 ],0,1.0,False
0,1,[ 0.01181696 -0.01314039 -0.02031445 -0.03041823],1,1.0,False
0,2,[ 0.01155416 -0.20796521 -0.02092281  0.2557867 ],0,1.0,False
0,3,[ 0.00739485 -0.01255088 -0.01580708 -0.04342152],1,1.0,False
0,4,[ 0.00714383 -0.20744264 -0.01667551  0.2442325 ],0,1.0,False
0,5,[ 0.00299498 -0.01208653 -0.01179086 -0.05366329],1,1.0,False
0,6,[ 0.00275325 -0.20703745 -0.01286412  0.23527633],0,1.0,False
0,7,[-0.0013875  -0.01173408 -0.0081586  -0.06143643],1,1.0,False
0,8,[-0.00162218 -0.20673811 -0.00938733  0.22866128],0,1.0,False
0,9,[-0.00575694 -0.01148328 -0.0048141  -0.0669679 ],1,1.0,False
0,10,[-0.00598661 -0.20653588 -0.00615346  0.22419228],0,1.0,False
0,11,[-0.01011733 -0.01132653 -0.00166961 -0.07042532],1,1.0,False
0,12,[-0.01034386 -0.2064245  -0.00307812  0.22173037],0,1.0,False
0,13,[-0.01447235 -0.01125869  0.00135649 -0.07192193],1,1.0,False
0,14,[-1.4697519e-02 -2.0640007e-01 -8.1949343e-05  2.2118866e-01],0,1.0,False
0,15,[-0.01882552 -0.01127694  0.00434182 -0.07152011],1,1.0,False
0,16,[-0.01905106 -0.20646086  0.00291142  0.22252952],0,1.0,False
0,17,[-0.02318028 -0.01138065  0.00736201 -0.06923361],1,1.0,False
0,18,[-0.02340789 -0.20660737  0.00597734  0.22576295],0,1.0,False
0,19,[-0.02754004 -0.01157135  0.0104926  -0.06502853],1,1.0,False
0,20,[-0.02777146 -0.20684215  0.00919203  0.23094633],0,1.0,False
0,21,[-0.03190831 -0.01185275  0.01381095 -0.05882301],1,1.0,False
0,22,[-0.03214536 -0.20716998  0.0126345   0.23818518],0,1.0,False
0,23,[-0.03628876 -0.01223078  0.0173982  -0.05048583],1,1.0,False
0,24,[-0.03653338 -0.20759782  0.01638848  0.2476352 ],0,1.0,False
0,25,[-0.04068533 -0.01271372  0.02134119 -0.03983371],1,1.0,False
0,26,[-0.04093961  0.18209581  0.02054451 -0.3257076 ],1,1.0,False
0,27,[-0.03729769 -0.01331254  0.01403036 -0.0266173 ],0,1.0,False
0,28,[-0.03756394  0.18160543  0.01349801 -0.31484067],1,1.0,False
0,29,[-0.03393183 -0.01370618  0.0072012  -0.01793167],0,1.0,False
0,30,[-0.03420596 -0.20893066  0.00684257  0.27701458],0,1.0,False
0,31,[-0.03838457 -0.01390699  0.01238286 -0.01350236],1,1.0,False
0,32,[-0.03866271  0.1810352   0.01211281 -0.30225277],1,1.0,False
0,33,[-0.03504201 -0.01425727  0.00606776 -0.00577447],0,1.0,False
0,34,[-0.03532715 -0.20946571  0.00595227  0.28881672],0,1.0,False
0,35,[-0.03951647 -0.01442914  0.0117286  -0.001983  ],1,1.0,False
0,36,[-0.03980505  0.18052265  0.01168894 -0.29094246],1,1.0,False
0,37,[-0.0361946  -0.014764    0.00587009  0.00540399],0,1.0,False
0,38,[-0.03648987  0.18027328  0.00597817 -0.2854211 ],1,1.0,False
0,39,[-0.03288441 -0.01493342  0.00026975  0.0091413 ],0,1.0,False
0,40,[-0.03318308 -0.21005924  0.00045258  0.30190933],0,1.0,False
0,41,[-0.03738426 -0.01494374  0.00649076  0.00936916],1,1.0,False
0,42,[-0.03768314  0.18008453  0.00667814 -0.2812588 ],1,1.0,False
0,43,[-0.03408145 -0.01513205  0.00105297  0.01352288],0,1.0,False
0,44,[-0.03438409 -0.21026908  0.00132343  0.30653784],0,1.0,False
0,45,[-0.03858947 -0.01516602  0.00745418  0.01427259],1,1.0,False
0,46,[-0.03889279  0.17984824  0.00773964 -0.27604917],1,1.0,False
0,47,[-0.03529583 -0.01538327  0.00221865  0.01906476],0,1.0,False
0,48,[-0.03560349 -0.21053697  0.00259995  0.31244686],0,1.0,False
0,49,[-0.03981423 -0.01545215  0.00884888  0.02058502],1,1.0,False
0,50,[-0.04012327  0.17954178  0.00926058 -0.2692929 ],1,1.0,False
0,51,[-0.03653244 -0.01571109  0.00387473  0.02629643],0,1.0,False
0,52,[-0.03684666  0.17935508  0.00440066 -0.26516145],1,1.0,False
0,53,[-0.03325956 -0.0158294  -0.00090257  0.02890622],0,1.0,False
0,54,[-0.03357615 -0.2109384  -0.00032445  0.32130423],0,1.0,False
0,55,[-0.03779491 -0.01581183  0.00610164  0.02851901],1,1.0,False
0,56,[-0.03811115  0.17922209  0.00667202 -0.26223257],1,1.0,False
0,57,[-0.03452671 -0.01599446  0.00142736  0.03254731],0,1.0,False
0,58,[-0.0348466   0.179107    0.00207831 -0.25968492],1,1.0,False
0,59,[-0.03126446 -0.01604456 -0.00311539  0.0336528 ],0,1.0,False
0,60,[-0.03158535 -0.2111217  -0.00244233  0.32535118],0,1.0,False
0,61,[-0.03580778 -0.01596506  0.00406469  0.03189903],1,1.0,False
0,62,[-0.03612708  0.17909837  0.00470267 -0.2594987 ],1,1.0,False
0,63,[-0.03254512 -0.0160904  -0.0004873   0.03466382],0,1.0,False
0,64,[-3.2866925e-02  1.7903854e-01  2.0597523e-04 -2.5817281e-01],1,1.0,False
0,65,[-0.02928615 -0.01608636 -0.00495748  0.03457507],0,1.0,False
0,66,[-0.02960788 -0.21113686 -0.00426598  0.32568976],0,1.0,False
0,67,[-0.03383062 -0.01595444  0.00224782  0.03166458],1,1.0,False
0,68,[-0.03414971  0.1791352   0.00288111 -0.2603083 ],1,1.0,False
0,69,[-0.030567   -0.01602775 -0.00232506  0.03328198],0,1.0,False
0,70,[-0.03088756 -0.21111628 -0.00165942  0.32523042],0,1.0,False
0,71,[-0.03510989 -0.01597075  0.00484519  0.03202464],1,1.0,False
0,72,[-0.0354293   0.17908138  0.00548568 -0.25912565],1,1.0,False
0,73,[-0.03184767 -0.01611845  0.00030317  0.03528248],0,1.0,False
0,74,[-0.03217004  0.17899916  0.00100882 -0.2573048 ],1,1.0,False
0,75,[-0.02859006 -0.01613718 -0.00413728  0.03569617],0,1.0,False
0,76,[-0.0289128  -0.21119957 -0.00342335  0.3270709 ],0,1.0,False
0,77,[-0.03313679 -0.01602904  0.00311806  0.03331035],1,1.0,False
0,78,[-0.03345737  0.17904806  0.00378427 -0.25838718],1,1.0,False
0,79,[-0.02987641 -0.01612771 -0.00138347  0.03548697],0,1.0,False
0,80,[-0.03019897  0.17901406 -0.00067373 -0.25763214],1,1.0,False
0,81,[-0.02661869 -0.01609827 -0.00582638  0.03483821],0,1.0,False
0,82,[-0.02694065 -0.21113619 -0.00512961  0.3256772 ],0,1.0,False
0,83,[-0.03116337 -0.01594158  0.00138393  0.03138101],1,1.0,False
0,84,[-0.0314822   0.17916049  0.00201155 -0.26086494],1,1.0,False
0,85,[-0.027899   -0.01599011 -0.00320575  0.03245177],0,1.0,False
0,86,[-0.0282188  -0.21106595 -0.00255671  0.32412153],0,1.0,False
0,87,[-0.03244012 -0.01590768  0.00392572  0.03063342],1,1.0,False
0,88,[-0.03275827  0.17915775  0.00453839 -0.26080832],1,1.0,False
0,89,[-0.02917512 -0.01602869 -0.00067778  0.03330261],0,1.0,False
0,90,[-2.9495690e-02  1.7910297e-01 -1.1726252e-05 -2.5959408e-01],1,1.0,False
0,91,[-0.02591363 -0.01601881 -0.00520361  0.03308514],0,1.0,False
0,92,[-0.02623401 -0.21106575 -0.00454191  0.32412174],0,1.0,False
0,93,[-0.03045532 -0.01587943  0.00194053  0.03000996],1,1.0,False
0,94,[-0.03077291  0.17921464  0.00254073 -0.26206008],1,1.0,False
0,95,[-0.02718862 -0.01594348 -0.00270047  0.03142314],0,1.0,False
0,96,[-0.02750749 -0.21102661 -0.00207201  0.32325283],0,1.0,False
0,97,[-0.03172802 -0.01587521  0.00439305  0.02991718],1,1.0,False
0,98,[-0.03204552  0.17918347  0.00499139 -0.26137647],1,1.0,False
0,99,[-0.02846185 -0.01600938 -0.00023614  0.03287662],0,1.0,False
0,100,[-0.02878204  0.17911595  0.00042139 -0.2598808 ],1,1.0,False
0,101,[-0.02519972 -0.01601201 -0.00477622  0.03293501],0,1.0,False
0,102,[-0.02551996 -0.21106514 -0.00411752  0.32410717],0,1.0,False
0,103,[-0.02974126 -0.0158848   0.00236462  0.03012859],1,1.0,False
0,104,[-0.03005896  0.17920315  0.00296719 -0.26180732],1,1.0,False
0,105,[-0.0264749  -0.01596102 -0.00226895  0.03181   ],0,1.0,False
0,106,[-0.02679412 -0.21105036 -0.00163275  0.3237762 ],0,1.0,False
0,107,[-0.03101513 -0.0159052   0.00484277  0.03057881],1,1.0,False
0,108,[-0.03133323  0.17914698  0.00545435 -0.26057225],1,1.0,False
0,109,[-0.02775029 -0.01605242  0.0002429   0.03382605],0,1.0,False
0,110,[-0.02807134  0.17906605  0.00091942 -0.25878024],1,1.0,False
0,111,[-0.02449002 -0.01606901 -0.00425618  0.03419255],0,1.0,False
