run_id,episode_index,step_count,time_start,time_end,time_delta_ms,observation_state,action_taken,reward_received,terminated
20250519_083759,0,0,104873.8461537,104873.8462195,0.06580000626854599,[-0.00495691  0.00249408  0.02237709 -0.03993448],1,1.0,False
20250519_083759,0,1,104873.8670047,104873.8670378,0.03309999010525644,[-0.00490703  0.19728813  0.0215784  -0.32547405],0,1.0,False
20250519_083759,0,2,104873.88751,104873.8875457,0.03569999535102397,[-0.00096126  0.00186569  0.01506892 -0.0260651 ],1,1.0,False
20250519_083759,0,3,104873.9088303,104873.9088634,0.03310000465717167,[-0.00092395  0.19676833  0.01454762 -0.31395578],0,1.0,False
20250519_083759,0,4,104873.9296577,104873.9296938,0.03609999839682132,[ 0.00301142  0.0014422   0.0082685  -0.01672074],1,1.0,False
20250519_083759,0,5,104873.9503075,104873.9503407,0.033200005418621004,[ 0.00304026  0.1964446   0.00793409 -0.30678344],0,1.0,False
20250519_083759,0,6,104873.9699054,104873.969939,0.03360000846441835,[ 0.00696915  0.0012105   0.00179842 -0.01160889],1,1.0,False
20250519_083759,0,7,104873.9899022,104873.9899373,0.03509999078232795,[ 0.00699336  0.19630662  0.00156624 -0.30372384],0,1.0,False
20250519_083759,0,8,104874.0101932,104874.0102256,0.03239999932702631,[ 0.0109195   0.00116237 -0.00450824 -0.01054739],0,1.0,False
20250519_083759,0,9,104874.0309739,104874.0310069,0.03300000389572233,[ 0.01094274 -0.19389464 -0.00471919  0.28070974],1,1.0,False
20250519_083759,0,10,104874.0512799,104874.0513126,0.03270000161137432,[ 0.00706485  0.00129431  0.00089501 -0.01345786],0,1.0,False
20250519_083759,0,11,104874.071192,104874.0712256,0.03359999391250312,[ 0.00709074 -0.19384046  0.00062585  0.2795073 ],1,1.0,False
20250519_083759,0,12,104874.0918164,104874.09185,0.03359999391250312,[ 0.00321393  0.00127256  0.006216   -0.01297815],1,1.0,False
20250519_083759,0,13,104874.1122796,104874.1123305,0.05089999467600137,[ 0.00323938  0.19630481  0.00595644 -0.30369338],0,1.0,False
20250519_083759,0,14,104874.1321321,104874.1321666,0.034500000765547156,[ 0.00716547  0.00109848 -0.00011743 -0.00913791],0,1.0,False
20250519_083759,0,15,104874.1546527,104874.1547957,0.1429999974789098,[ 0.00718744 -0.19402179 -0.00030019  0.28350797],1,1.0,False
20250519_083759,0,16,104874.1748986,104874.175053,0.15439999697264284,[ 0.00330701  0.00110445  0.00536997 -0.00926963],1,1.0,False
20250519_083759,0,17,104874.1951886,104874.1952949,0.10629999451339245,[ 0.0033291   0.19614898  0.00518458 -0.30025345],0,1.0,False
20250519_083759,0,18,104874.2155425,104874.2156133,0.07080000068526715,[ 0.00725208  0.00095351 -0.00082049 -0.00593992],0,1.0,False
20250519_083759,0,19,104874.2358708,104874.2359052,0.03440000000409782,[ 0.00727115 -0.19415666 -0.00093929  0.28648403],1,1.0,False
20250519_083759,0,20,104874.2565432,104874.2565774,0.034199998481199145,[ 0.00338801  0.00097867  0.00479039 -0.006495  ],1,1.0,False
20250519_083759,0,21,104874.2768097,104874.2768439,0.034200013033114374,[ 0.00340759  0.1960316   0.00466049 -0.29766268],0,1.0,False
20250519_083759,0,22,104874.2981252,104874.2981644,0.03919999289792031,[ 0.00732822  0.00084352 -0.00129276 -0.00351355],0,1.0,False
20250519_083759,0,23,104874.3193788,104874.3194123,0.033499993151053786,[ 0.00734509 -0.19425987 -0.00136304  0.2887612 ],1,1.0,False
20250519_083759,0,24,104874.3402858,104874.3403281,0.04230000195093453,[ 0.00345989  0.00088149  0.00441219 -0.00435129],1,1.0,False
20250519_083759,0,25,104874.3604651,104874.3605085,0.04339999577496201,[ 0.00347752  0.19593988  0.00432516 -0.29563886],0,1.0,False
20250519_083759,0,26,104874.3806502,104874.3806964,0.046200002543628216,[ 0.00739632  0.00075655 -0.00158761 -0.00159499],0,1.0,False
20250519_083759,0,27,104874.4012574,104874.4013011,0.04370001261122525,[ 0.00741145 -0.1943426  -0.00161951  0.2905866 ],1,1.0,False
20250519_083759,0,28,104874.4214235,104874.4215295,0.10600000678095967,[ 0.0035246   0.00080241  0.00419222 -0.00260666],1,1.0,False
20250519_083759,0,29,104874.4429106,104874.4430198,0.109200002043508,[ 0.00354065  0.19586399  0.00414009 -0.29396394],0,1.0,False
20250519_083759,0,30,104874.462909,104874.4630118,0.10280001151841134,[ 7.4579264e-03  6.8325398e-04 -1.7391939e-03  2.1822838e-05],0,1.0,False
20250519_083759,0,31,104874.4844376,104874.4844879,0.050300004659220576,[ 0.00747159 -0.1944137  -0.00173876  0.2921555 ],1,1.0,False
20250519_083759,0,32,104874.5044373,104874.5044825,0.045199994929134846,[ 0.00358332  0.00073299  0.00410435 -0.0010753 ],1,1.0,False
20250519_083759,0,33,104874.5245928,104874.5246256,0.032800002372823656,[ 0.00359798  0.19579583  0.00408285 -0.29246044],0,1.0,False
20250519_083759,0,34,104874.5452033,104874.5452497,0.04639998951461166,[ 0.00751389  0.00061591 -0.00176636  0.00150737],0,1.0,False
20250519_083759,0,35,104874.5651353,104874.5651681,0.032800002372823656,[ 0.00752621 -0.19448066 -0.00173621  0.29363248],1,1.0,False
20250519_083759,0,36,104874.5862489,104874.5862825,0.03359999391250312,[0.0036366  0.000666   0.00413644 0.00040247],1,1.0,False
20250519_083759,0,37,104874.6056437,104874.6056814,0.03770001058001071,[ 0.00364992  0.19572838  0.00414448 -0.2909725 ],0,1.0,False
20250519_083759,0,38,104874.6262632,104874.6263013,0.03809999907389283,[ 0.00756449  0.00054758 -0.00167497  0.00301467],1,1.0,False
20250519_083759,0,39,104874.6465642,104874.6466126,0.0484000047435984,[ 0.00757544  0.19569352 -0.00161467 -0.29019627],0,1.0,False
20250519_083759,0,40,104874.6664321,104874.6664759,0.043799998820759356,[ 0.01148931  0.00059463 -0.0074186   0.00197698],0,1.0,False
20250519_083759,0,41,104874.687018,104874.6870631,0.04510000871960074,[ 0.0115012  -0.19442014 -0.00737906  0.29231006],1,1.0,False
20250519_083759,0,42,104874.7068595,104874.7069011,0.04159999662078917,[ 0.0076128   0.00080623 -0.00153286 -0.00269098],0,1.0,False
20250519_083759,0,43,104874.7271341,104874.7271672,0.03310000465717167,[ 0.00762892 -0.19429371 -0.00158668  0.28950793],1,1.0,False
