run_id,episode_index,step_count,time_start,time_end,time_delta_ms,observation_state,action_taken,reward_received,terminated
20250519_083521,0,0,104715.2394373,104715.2394701,0.032800002372823656,[ 0.04987141  0.04237863  0.019651   -0.00624065],1,1.0,False
20250519_083521,0,1,104715.2605114,104715.2605411,0.029699993319809437,[ 0.05071898  0.23721333  0.01952619 -0.29265925],0,1.0,False
20250519_083521,0,2,104715.2826156,104715.2826387,0.023100001271814108,[0.05546325 0.0418185  0.01367301 0.00611746],1,1.0,False
20250519_083521,0,3,104715.3037849,104715.30381,0.02510000194888562,[ 0.05629962  0.23674172  0.01379535 -0.2822203 ],0,1.0,False
20250519_083521,0,4,104715.3245099,104715.3245438,0.033899996196851134,[0.06103445 0.04142573 0.00815095 0.0147815 ],1,1.0,False
20250519_083521,0,5,104715.3456907,104715.345721,0.03029999788850546,[ 0.06186297  0.23642986  0.00844658 -0.2753186 ],0,1.0,False
20250519_083521,0,6,104715.3666874,104715.366733,0.045599997974932194,[0.06659156 0.04118841 0.00294021 0.02001637],1,1.0,False
20250519_083521,0,7,104715.3876953,104715.3877194,0.02409999433439225,[ 0.06741533  0.23626807  0.00334053 -0.27173743],0,1.0,False
20250519_083521,0,8,104715.408327,104715.4083488,0.021800005924887955,[ 0.07214069  0.04109861 -0.00209421  0.02199724],1,1.0,False
20250519_083521,0,9,104715.428461,104715.4284831,0.022099993657320738,[ 0.07296266  0.23625053 -0.00165427 -0.2713457 ],0,1.0,False
20250519_083521,0,10,104715.4495755,104715.4495977,0.022200008970685303,[ 0.07768767  0.04115223 -0.00708118  0.020815  ],1,1.0,False
20250519_083521,0,11,104715.4710517,104715.4710745,0.022799998987466097,[ 0.07851072  0.23637502 -0.00666488 -0.2740937 ],0,1.0,False
20250519_083521,0,12,104715.4916121,104715.4916341,0.02200000744778663,[ 0.08323822  0.04134879 -0.01214676  0.01647969],0,1.0,False
20250519_083521,0,13,104715.5125667,104715.51259,0.023300002794712782,[ 0.0840652  -0.15359688 -0.01181716  0.30530557],1,1.0,False
20250519_083521,0,14,104715.5335451,104715.5335666,0.021500003640539944,[ 0.08099326  0.04169146 -0.00571105  0.00891934],1,1.0,False
20250519_083521,0,15,104715.5546678,104715.5546898,0.02200000744778663,[ 0.08182709  0.23689485 -0.00553267 -0.28556   ],0,1.0,False
20250519_083521,0,16,104715.5749492,104715.5749713,0.022099993657320738,[ 0.08656499  0.04185224 -0.01124387  0.00537283],0,1.0,False
20250519_083521,0,17,104715.5955344,104715.5955577,0.023300002794712782,[ 0.08740203 -0.15310666 -0.01113641  0.2944871 ],1,1.0,False
20250519_083521,0,18,104715.6166403,104715.6166628,0.022500011255033314,[ 0.08433989  0.04217227 -0.00524667 -0.0016872 ],0,1.0,False
20250519_083521,0,19,104715.6369161,104715.6369389,0.022799998987466097,[ 0.08518334 -0.15287404 -0.00528041  0.28933573],1,1.0,False
20250519_083521,0,20,104715.6579516,104715.6579731,0.021499989088624716,[ 0.08212586  0.0423228   0.0005063  -0.00500789],1,1.0,False
20250519_083521,0,21,104715.6786345,104715.6786583,0.023800006601959467,[ 0.08297232  0.23743749  0.00040615 -0.29753104],0,1.0,False
20250519_083521,0,22,104715.6995233,104715.6995461,0.022799998987466097,[ 0.08772106  0.04230975 -0.00554448 -0.00472004],0,1.0,False
20250519_083521,0,23,104715.7208044,104715.7208265,0.022099993657320738,[ 0.08856726 -0.15273225 -0.00563888  0.2862084 ],1,1.0,False
20250519_083521,0,24,104715.7411958,104715.7412181,0.022299995180219412,[ 8.5512616e-02  4.2469669e-02  8.5291773e-05 -8.2476428e-03],1,1.0,False
20250519_083521,0,25,104715.7608979,104715.7609393,0.041399995097890496,[ 8.6362012e-02  2.3759040e-01 -7.9661084e-05 -3.0090365e-01],0,1.0,False
20250519_083521,0,26,104715.781292,104715.7813142,0.022199994418770075,[ 0.09111382  0.04246958 -0.00609773 -0.00824586],0,1.0,False
20250519_083521,0,27,104715.8007977,104715.8008199,0.022200008970685303,[ 0.09196321 -0.15256439 -0.00626265  0.28250694],1,1.0,False
20250519_083521,0,28,104715.8218206,104715.8218422,0.02160000440198928,[ 0.08891192  0.04264633 -0.00061251 -0.0121446 ],1,1.0,False
20250519_083521,0,29,104715.8427646,104715.8427868,0.022199994418770075,[ 0.08976485  0.23777705 -0.0008554  -0.30502072],0,1.0,False
20250519_083521,0,30,104715.8638528,104715.8638746,0.021800005924887955,[ 0.09452039  0.0426673  -0.00695582 -0.01260769],0,1.0,False
20250519_083521,0,31,104715.8848282,104715.8848494,0.021200001356191933,[ 0.09537373 -0.15235421 -0.00720797  0.2778725 ],1,1.0,False
20250519_083521,0,32,104715.9059509,104715.905973,0.022099993657320738,[ 0.09232666  0.04286983 -0.00165052 -0.01707507],0,1.0,False
20250519_083521,0,33,104715.9271143,104715.9271372,0.022899999748915434,[ 0.09318405 -0.15222842 -0.00199202  0.27508664],1,1.0,False
20250519_083521,0,34,104715.9477234,104715.9477453,0.021900006686337292,[ 0.09013948  0.0429219   0.00350971 -0.0182239 ],1,1.0,False
20250519_083521,0,35,104715.9687836,104715.9688057,0.022100008209235966,[ 0.09099792  0.23799334  0.00314523 -0.3097974 ],0,1.0,False
20250519_083521,0,36,104715.9897095,104715.9897311,0.021599989850074053,[ 0.09575778  0.04282673 -0.00305072 -0.01612423],0,1.0,False
20250519_083521,0,37,104716.0109896,104716.0110263,0.036699988413602114,[ 0.09661432 -0.15225135 -0.0033732   0.2755946 ],1,1.0,False
20250519_083521,0,38,104716.0308876,104716.0309101,0.022499996703118086,[ 0.09356929  0.04291857  0.00213869 -0.01815033],1,1.0,False
20250519_083521,0,39,104716.0530739,104716.0531811,0.10720000136643648,[ 0.09442767  0.23800978  0.00177568 -0.31015772],0,1.0,False
20250519_083521,0,40,104716.0730078,104716.0731492,0.14139999984763563,[ 0.09918786  0.04286258 -0.00442747 -0.01691531],0,1.0,False
20250519_083521,0,41,104716.0938533,104716.0938884,0.03510000533424318,[ 0.10004511 -0.15219559 -0.00476578  0.27436742],1,1.0,False
20250519_083521,0,42,104716.1163889,104716.1165123,0.12339999375399202,[ 0.0970012   0.04299403  0.00072157 -0.01981483],0,1.0,False
20250519_083521,0,43,104716.1355422,104716.1355912,0.048999994760379195,[ 0.09786108 -0.15213826  0.00032528  0.27309567],1,1.0,False
20250519_083521,0,44,104716.1554414,104716.1554748,0.03340000694151968,[ 0.09481832  0.04297905  0.00578719 -0.01948464],1,1.0,False
20250519_083521,0,45,104716.1769987,104716.177119,0.12029999925289303,[ 0.0956779   0.23801753  0.0053975  -0.31033602],0,1.0,False
20250519_083521,0,46,104716.1968883,104716.1969419,0.05360000068321824,[ 0.10043824  0.04281909 -0.00080922 -0.01595579],1,1.0,False
20250519_083521,0,47,104716.2171629,104716.217198,0.03510000533424318,[ 0.10129463  0.23795263 -0.00112834 -0.30889392],0,1.0,False
20250519_083521,0,48,104716.238968,104716.2390801,0.11209999502170831,[ 0.10605368  0.04284678 -0.00730622 -0.01656707],0,1.0,False
20250519_083521,0,49,104716.2587552,104716.258796,0.040799990529194474,[ 0.10691062 -0.15216963 -0.00763756  0.27380174],1,1.0,False
20250519_083521,0,50,104716.2791236,104716.2791613,0.037699996028095484,[ 0.10386723  0.04306046 -0.00216153 -0.02128028],0,1.0,False
20250519_083521,0,51,104716.2990022,104716.2990379,0.03569999535102397,[ 0.10472843 -0.15203042 -0.00258713  0.2707199 ],1,1.0,False
20250519_083521,0,52,104716.3189245,104716.3189595,0.03500000457279384,[ 0.10168783  0.04312835  0.00282727 -0.02277792],1,1.0,False
20250519_083521,0,53,104716.3390318,104716.3390673,0.0354999938281253,[ 0.10255039  0.23820964  0.00237171 -0.31456748],0,1.0,False
20250519_083521,0,54,104716.3590467,104716.3590821,0.03539999306667596,[ 0.10731459  0.04305398 -0.00391964 -0.02113753],0,1.0,False
20250519_083521,0,55,104716.3789531,104716.3789896,0.03650000144261867,[ 0.10817567 -0.15201154 -0.00434239  0.27030614],1,1.0,False
20250519_083521,0,56,104716.3989382,104716.3989951,0.056899996707215905,[ 0.10513543  0.04317211  0.00106373 -0.02374323],0,1.0,False
20250519_083521,0,57,104716.4192535,104716.4192882,0.03470000228844583,[ 0.10599887 -0.15196508  0.00058887  0.26927513],1,1.0,False
20250519_083521,0,58,104716.4399842,104716.4400188,0.03460000152699649,[ 0.10295957  0.04314846  0.00597437 -0.02322202],1,1.0,False
